rank,registration number,title,study type,study phase,source of funding,funded (original),technology approach,application setting,application of a digital placebo,purpose of intervention,medical specialty (ICD-11),target Disease / conditions,study design,study purpose,registered,duration_month,arm,sample size,implementation site_1,implementation site_1_location,implementation site_2,implementation site_2_location,implementation site_3,implementation site_3_location,implementation site_4,implementation site_4_location,implementation site_5,implementation site_5_location,implementation site_6,implementation site_6_location,implementation site_7,implementation site_7_location,implementation site_8,implementation site_8_location,implementation site_9,implementation site_9_location,implementation site_10,implementation site_10_location,recruitment status,age_min,age_max,sex,randomization,randomization_method,masking,masking (original)
128,ChiCTR1900026873,Clinical and economic evaluation of remote patient monitoring combining with internet-based outpatient telerehabilitation for patients following total knee arthroplasty,Interventional,Phase 4,self-fund,自筹,Fully-automated,Non-hospital,No,Management,Factors influencing health status or contact with health services,Total Knee Arthroplasty,Parallel Assignment,1.探讨智能可穿戴系统与传统术后康复的临床效果的比较 2.探讨智能可穿戴系统与传统术后康复的经济学性价比分析,2019,1.233333333,1,160,中国人民解放军总医院 ,北京市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,18,75,All,randomized-NP,Eligible patients were randomly assigned into one of two groups through computer-generated randomization codes with a 1:1 allocation ratio,NP,未说明
129,ChiCTR1900026502,Application and early warning index distinguish of acute aggravation of remote management based on 'internet plus' for the chronic obstructive pulmonary disease,Observational,Early Phase 1,provincial government/fund,湖南省卫生健康委员会科技计划重点项目,Guided,Non-hospital,No,Management,Diseases of the circulatory system,Chronic Obstructive Pulmonary Disease,Parallel Assignment,利用互联网技术及物联网便携式设备实现人群慢阻肺早期筛查，评价其在慢阻肺早期诊断中的价值；通过互联网远程管理系统及便携式设备对患者进行个体化远程监测，开展远程综合防治，评估远程管理对于慢阻肺急性加重识别及自我管理水平的影响；获得稳定期及急性加重期患者肺功能、气道微生物组成、痰液细胞学组成、生物标记物等信息，阐明各指标对将来发生AECOPD的影响，建立慢阻肺急性加重的早期预警模型。  ,2019,51.73333333,2,250,南华大学附属第二医院 ,湖南省,南华大学附属第二医院 ,湖南省 ,广州医科大学附属第一医院 ,广东 ,南华大学 ,湖南 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,40,,All,NP,N/A,NP,N/A
130,ChiCTR1900026437,Study for remote control of home blood pressure and management of hypertension based on Internet mobile platform,Interventional,NP,provincial government/fund,宁夏科技厅重点研发计划项目,Guided,Non-hospital,No,Management,Diseases of the circulatory system,Hypertension,Parallel Assignment,针对我国高血压患者血压知晓率、治疗率、控制率低的特点，我院与浙江大学合作，联合开发高血压慢病管理移动互联平台和“血压助手”手机APP，对高血压患者的血压进行远程监控和分级管理，并加以健康知识推送，探讨移动互联平台与传统的门诊及电话随访相比对提升高血压患者血压达标率、治疗率和知晓率的临床意义，打造慢病管理示范平台。为我国慢病管理开辟一条创新之路。  ,2017,24.33333333,2,180,宁夏医科大学总医院 ,宁夏回族自治区,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,18,80,All,randomized-NP,Health managers were divided into control group and experimental group according to the randomized control table method.,NP,未说明
131,ChiCTR1900026418,The effect of Nordic walking on cardiac rehabilitation in patients with chronic heart failure under remote real-time electrocardio monitoring,Interventional,NP,self-fund,自筹,Fully-automated,Non-hospital,No,Management,Diseases of the circulatory system,chronic cardiac failure,Parallel Assignment,1、通过远程实时心电监测下慢性心力衰竭患者在家庭进行北欧式步行训练，最终实现家庭运动心脏康复结构化、个性化、规范化； 2、提高慢性心力衰竭患者心脏康复参与率，有效的缓解症状，改善生活质量，提高运动耐量水平，减少心血管事件，降低死亡率和致残率； 3、探讨互联网+时代家庭运动心脏康复的可行性，探讨适合本地区乃至全国合适的心脏康复模式，改善患者预后，节约总的治疗成本。,2019,26.36666667,2,120,南方医科大学顺德医院 ,广东省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not yet recruiting,NA,NA,All,randomized-NP,The researchers will randomize 120 patients who met the inclusion criteria with a computer-generated random number，and randomly divide the patients (2:1) into Nordic walking training group (TG) and routine nursing control group (CG).,Open label,open label
132,ChiCTR1900025604,Real-time monitoring and just-in-time intervention for adherence to pre-exposure prophylaxis among men who have sex with men in China: a multicentre RCT study,Interventional,NP,national government/fund,博士后科学基金面上项目,Fully-automated,Non-hospital,No,Management,Certain infectious or parasitic diseases,艾滋病,Parallel Assignment,评价“智能便携药盒”对于提高PrEP使用者服药依从性的效果。  ,2019,14.23333333,2,1000,中国医科大学附属第一医院 ,辽宁省,首都医科大学附属北京佑安医院 ,北京 ,深圳市第三人民医院 ,广东 ,重庆市公共卫生医疗救治中心 ,重庆 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,18,65,Male,simple randomization,Equilibrium random grouping: PASS 11.0 random grouping module will be used to equalize random grouping according to the way of taking medicine. Each way will have 500 people. Two groups of 500 random numbers are generated for random grouping of daily taking group and event-driven group.,NP,未说明
133,ChiCTR1900024513,The study of effectiveness of telestroke and continuous quality improvement,Observational,NP,self-fund,自筹,Guided,Non-hospital,No,Management,Diseases of the nervous system,stroke,Parallel Assignment,1.建立基于卒中远程医疗系统的卒中登记。 2.验证卒中远程医疗在重庆市的可行性和有效性。 3.建立持续质量改进的远程卒中医疗体系。,2019,36.5,1,2000,重庆医科大学附属第二医院 ,重庆市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,18,,All,Non-Randomized,N/A,NP,N/A
134,ChiCTR1900022770,Development and practice of telemedicine chronic disease management service project for elderly patients with chronic obstructive pulmonary disease based on the characteristics of the spiritual health care,Interventional,NP,hospital/university,江南大学无锡医学院慢性病管理与康复研究室经费,Fully-automated,Non-hospital,No,Management,Diseases of the respiratory system,Chronic obstructive pulmonary disease,Parallel Assignment,"（1）构建远程肺康复干预方案，并评价方案对患者呼吸困难症状、自我效能、健康状况及生活质量的影响,为临床上开展远程肺康复干预提供借鉴、指导。 （2）制定针对老年COPD患者的远程灵性干预方案并评价方案的干预效果，促进灵性干预在COPD患者中的应用，为未来开展远程灵性干预提供证据支持、借鉴和新的思路。",2018,49.7,4,152,江南大学附属医院 ,江苏省,无锡市第二人民医院 ,江苏省 ,江苏省荣军医院 ,江苏省 ,无锡市第二中医医院 ,江苏省 ,惠山区康复医院 ,江苏省 ,黄巷街道社区卫生服务中心 ,江苏省 ,NA,NA,NA,NA,NA,NA,NA,NA,Completed,60,,All,randomized-NP,"The patients were randomly divided into the intervention group and the control group at a ratio of 1:1 by the computer generated random assignment sequence table, and the results were not known to the surveyors.","double(participant, investigator)",对结果测量者，患者实施盲法。
135,ChiCTR1900022757,The effects of telerehabilitation on patients with knee osteoarthritis: a randomized controlled clinical trial,Interventional,Early Phase 1,provincial government/fund,四川省科技厅科研项目,Fully-automated,Non-hospital,No,Management,Diseases of the musculoskeletal system or connective tissue,knee osteoarthritis,Parallel Assignment,本研究将开发本土化、个性化定制的基于物联网模式下膝骨关节炎康复治疗模式（包括学习自我管理、健康教育、运动疗法、远程康复指导、动态随访等）。通过前瞻性随机单盲对照试验评估物联网模式下膝骨关节炎康复治疗对患者疼痛、功能活动及生活质量的疗效；为物联网模式下膝骨关节炎的康复治疗提供符合中国国情的科学系统的理论框架与可行有效的干预证据；探索超声波和脉冲电磁场治疗膝骨关节炎的最佳治疗参数。同时，从患者、康复医生以及康复治疗师三个角度对基于物联网模式下膝骨关节炎康复治疗的使用反馈进行采集。  ,2019,65.96666667,4,224,四川大学华西医院 ,四川省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not yet recruiting,,,All,simple randomization,Random number generated by a computer.,single(outcomes assessor),单盲 谢苏杭医师：请说明施盲对象？
136,ChiCTR1900021551,Research and Application of Key Technology for Nutrition and Weight Management of Long-range Diabetes Based on 'internet plus',Interventional,NP,municipal government/fund,市科技计划拨款,Guided,Non-hospital,No,Management,"Endocrine, nutritional or metabolic diseases",Type II diabetes,Parallel Assignment,项目拟通过应用“云+端”的方式，基于健康云平台，糖尿病患者在社区卫生单位或家庭所测得多项糖尿病管理数据如血糖、血脂、膳食摄入、运动量、睡眠、体重变化等，将自动上传至数据中心，服务端利用数据进行糖尿病健康跟踪、预警、营养方案调整、运动方案调整以及双向转诊，期望通过采用“云+端”的方式对糖尿病患者加强营养和体重管理，以帮助糖尿病患者减少住院次数，减少服药量，延迟糖尿病并发症的发生或降低并发症的发生率，提高患者生活质量，促进糖尿病患者健康，减少国家卫生经济负担和糖尿病患者家庭经济负担。  ,2015,38.53333333,2,100,九龙坡区渝州路街道社区卫生服务中心 ,重庆市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Completed,30,75,All,simple randomization,"Using computer to produce random numbers, T2DM patients were randomly divided into remote nutritional intervention group and control group",Open label,Open
137,ChiCTR1900021320,The effect of remoted-monitor pulmonary rehabilitation in family for stable COPD patients: a randomized controlled trial,Interventional,Early Phase 1,national government/fund,中国宋庆龄基金会 呼吸疾病临床研究公益基金,Fully-automated,Non-hospital,No,Management,Diseases of the respiratory system,COPD,Parallel Assignment,通过单中心临床随机对照研究方法，借助远程家庭肺康复维持，突出患者自身管理模式，提高肺康复依从性，改善慢阻肺患者的症状，减低慢阻肺患者的急性加重频率，进而减轻慢阻肺疾病负担，达到建立多学科相互整合为特色的综合肺康复策略。  ,2019,13.86666667,3,120,天津市胸科医院 ,天津市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not yet recruiting,,,All,simple randomization,Randomization procedure was performed via random number generators(SPSS（17.0）) by statistical staff.,NP,N/A
138,ChiCTR1800020040,The management effectiveness of Automatic Remote Peritoneal Dialysis Follow-up system: A prospective cohort study,Observational,Early Phase 1,municipal government/fund,深圳市卫生与计划生育委员会,Guided,Non-hospital,No,Management,Factors influencing health status or contact with health services,Peritoneal Dialysis,factorial assignment,基于我院自主研发的“实时远程智能随访系统（ARPDF系统）”，比较、探讨接受ARPDF系统随访，和接受传统PD随访模式的CAPD患者的临床管理效能。  ,2018,37.5,2,192,深圳市中医院 ,广东省,北京大学深圳医院 ,广东 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,18,75,All,Non-Randomized,No,Open label,无
139,ChiCTR1800019144,A clinical study for the effect of remote monitoring on the prognosis of patients with stable coronary heart disease,Interventional,Phase 1,industry,成都尚医信息科技有限公司,Guided,Non-hospital,No,Management,Diseases of the circulatory system,Coronary Heart Disease,factorial assignment,研究基于信息科技远程监控下的运动对稳定性冠心病患者预后的影响，探讨信息科技应用于冠心病康复的可行性及有效性。  ,2018,11.93333333,2,80,北京大学人民医院 ,北京市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,,,All,randomized-NP,"This trail use prospective, randomized, parallel controlled,and blind methods to evaluate the study. Patients matched the study criteria were divided into the remote monitoring exercise group and the traditional exercise intervention group by the computer random sequence method.",NP,未说明
140,ChiCTR1800018981,A Study for the Intervening Effect of Remote Visit on Anxiety and Depression of Critically Ill Newborn Parents,Interventional,Early Phase 1,hospital/university,中南大学,Adjunctive,Non-hospital,No,Treatment,"Mental, behavioural or neurodevelopmental disorders",Depression and anxiety,Parallel Assignment,利用微信远程探视干预缓解新生儿重症监护室患儿父母焦虑、抑郁情绪。  ,2018,5.033333333,2,120,湖南省儿童医院 ,湖南省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,,,All,simple randomization,computer generated random number,NP,未说明
